file_name,mode,T,E,threshold_list,counts_list,man_no_for_parity,reset,single_photon
00110_cavity_temperature_sweep_parity_with_without_reset.h5,M1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[87849.0, 85081.0, 80145.0, 77923.0, 69796.0, 67270.0, 63299.00000000001, 61546.0, 57782.0, 56067.0, 52828.0, 50320.0, 48423.0, 45709.0, 44360.0, 41734.0, 40287.0, 38129.0, 36227.0, 32870.0, 29905.0, 27192.0, 23475.0, 18495.0, 14353.0, 11046.0, 8310.0]",1,False,True
00111_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,False,True
00112_cavity_temperature_sweep_parity_with_without_reset.h5,M1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1657, 1533, 1360, 1298, 1070, 1006, 899, 859, 762, 721, 666, 614, 579, 526, 497, 454, 426, 376, 342, 290, 241, 198, 155, 115, 79, 50, 31]",1,False,False
00113_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00114_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00115_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S3,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00116_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S4,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00117_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S5,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00118_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S6,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
00119_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S7,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,False,False
