time_us,avgi,avgq,buffer_pop_norm
50.0000,-184.2623,-223.0468,0.03420
50.1000,-178.9001,-217.0741,0.05389
50.2000,-133.3969,-183.2337,0.19471
50.3000,-77.8452,-135.6382,0.37643
50.4000,-31.0666,-100.1563,0.52227
50.5000,-15.3160,-83.5978,0.57858
50.6000,-2.2121,-79.8233,0.60982
50.7000,43.6176,-38.5089,0.76293
50.8000,92.8061,-1.2177,0.91626
50.9000,108.1911,19.3661,0.97813
51.0000,112.3350,-2.1021,0.95266
51.1000,82.4600,-6.9418,0.88731
51.2000,58.7294,-16.5620,0.82640
51.3000,8.4450,-76.9092,0.63498
51.4000,-38.4262,-105.4887,0.49972
51.5000,-104.6694,-160.9185,0.28510
51.6000,-122.0429,-175.8028,0.22827
51.7000,-166.6332,-200.0031,0.10425
51.8000,-172.1075,-216.3396,0.06818
51.9000,-179.4640,-229.1471,0.03396
52.0000,-196.4574,-224.9509,0.00763
52.1000,-179.7126,-215.7481,0.05438
52.2000,-136.0069,-194.3648,0.17230
52.3000,-127.4180,-168.4437,0.22935
52.4000,-106.6912,-158.5480,0.28488
52.5000,-19.9370,-90.8222,0.55837
52.6000,-31.3909,-98.1660,0.52475
52.7000,40.3494,-49.7570,0.73906
52.8000,71.3556,-8.7104,0.86307
52.9000,85.8055,-10.2028,0.88870
53.0000,91.0736,-0.8780,0.91344
53.1000,92.1596,10.5220,0.93332
53.2000,90.9469,-4.7503,0.90715
53.3000,66.9741,-23.4012,0.83168
53.4000,10.8520,-58.3759,0.66855
53.5000,-12.8183,-91.1925,0.57156
53.6000,-112.4221,-162.6545,0.26739
53.7000,-141.1373,-188.9482,0.17082
53.8000,-168.2250,-212.5748,0.08156
53.9000,-165.3161,-210.3572,0.09065
54.0000,-187.1462,-222.3991,0.02963
54.1000,-182.8055,-212.2618,0.05384
54.2000,-197.7468,-222.8008,0.00849
54.3000,-177.0376,-206.3098,0.07428
54.4000,-159.1531,-193.0175,0.12962
54.5000,-104.9536,-160.8757,0.28461
54.6000,-98.3257,-153.6188,0.30876
54.7000,-41.3627,-98.4810,0.50497
54.8000,31.2188,-47.0255,0.72565
54.9000,48.3300,-29.3755,0.78629
55.0000,91.7921,-1.6737,0.91359
55.1000,102.1534,3.8735,0.94229
55.2000,101.9794,12.9054,0.95604
55.3000,84.9787,-2.1135,0.89972
55.4000,36.9764,-33.6562,0.75765
55.5000,18.4066,-59.7178,0.68107
55.6000,5.5317,-81.8462,0.62164
55.7000,-47.0496,-114.3238,0.46925
55.8000,-97.8111,-149.0930,0.31681
55.9000,-150.6829,-189.0575,0.15218
56.0000,-159.3107,-195.1742,0.12595
56.1000,-193.2834,-233.7813,0.00000
56.2000,-166.1961,-224.0961,0.06751
56.3000,-170.2911,-216.4013,0.07159
56.4000,-168.8150,-206.1852,0.09038
56.5000,-163.6005,-213.1576,0.08960
56.6000,-113.0623,-171.4673,0.25240
56.7000,-54.8329,-118.7702,0.44726
56.8000,-35.5683,-107.4585,0.50217
56.9000,3.5206,-59.2157,0.65305
57.0000,44.9675,-39.5281,0.76395
57.1000,39.0632,-43.2220,0.74676
57.2000,98.5132,4.3601,0.93600
57.3000,115.7095,24.0599,1.00000
57.4000,93.1601,6.8749,0.92957
57.5000,61.8925,-16.7404,0.83224
57.6000,25.0180,-49.4225,0.70992
57.7000,-29.7849,-111.6482,0.50683
57.8000,-29.6610,-106.6176,0.51492
57.9000,-100.1420,-170.8363,0.27838
58.0000,-159.5912,-194.0403,0.12717
58.1000,-176.5529,-215.8567,0.06033
58.2000,-190.1575,-218.1423,0.03044
58.3000,-185.9757,-215.7269,0.04230
58.4000,-189.5103,-228.5437,0.01547
58.5000,-169.8054,-205.8043,0.08906
58.6000,-141.8548,-190.1674,0.16753
58.7000,-135.2330,-181.4594,0.19392
58.8000,-82.2904,-146.1717,0.35140
58.9000,-22.2075,-89.4829,0.55606
59.0000,10.7349,-57.4833,0.66971
59.1000,26.4260,-53.3371,0.70654
59.2000,91.2703,-12.0739,0.89635
59.3000,83.5347,-9.4337,0.88551
59.4000,101.6051,16.2094,0.96047
59.5000,84.0820,5.6330,0.91007
59.6000,86.6860,-9.6245,0.89131
59.7000,39.2378,-32.7104,0.76350
59.8000,-11.0243,-85.0417,0.58463
59.9000,-40.1939,-113.0018,0.48458
