series,depth,fidelity,fidelity_err
S1,1,0.8240515250187467,0.0058174438554775155
S1,2,0.7359249775642367,0.0064875765864069465
S1,3,0.6569671539929295,0.0059766503811531525
S1,4,0.5855780184739927,0.006454882946489681
S1,5,0.5625971584826203,0.004486806925350164
S1,6,0.510456611353595,0.005338215301906902
S1,7,0.48006241737276395,0.004313155223528562
S1,8,0.4545557201259701,0.00464400550969835
S1,9,0.44846022268822544,0.0046658371604260795
S1,10,0.43184405756296507,0.003715835448634029
S1,11,0.42146762383216757,0.00344029721121823
S1,12,0.416828850333224,0.005042050850757102
S1,13,0.4085724155023586,0.0034310476903605756
S1,14,0.40726319143254147,0.0034089070613436147
S1,15,0.40283351917757915,0.0032110756945471666
S1,16,0.4122765951579852,0.0034977056819828103
S1,17,0.4043616654300022,0.003078220830436878
S1,18,0.40249816731927546,0.002609816290477005
S1,19,0.41790344096138593,0.004862333304538067
S1,20,0.4077577442702303,0.004132306286678028
S1,21,0.4016794466447861,0.004699125701344672
S1,22,0.3884151220711369,0.0035516069701386293
S1,23,0.4027535692846126,0.004020493161787812
S1,24,0.40349790400999275,0.0028191112599654363
S2,1,0.818537220901563,0.004283368567170443
S2,2,0.7179028544417605,0.008164569164782216
S2,3,0.6397467615735836,0.006918723495577359
S2,4,0.5765315572655081,0.006556190440394604
S2,5,0.5302302756244789,0.008589027456629626
S2,6,0.49915179601789794,0.00606392974564299
S2,7,0.46760786886850425,0.0051707791277324595
S2,8,0.43715960208438814,0.004524556624808576
S2,9,0.4311914948286855,0.0031769148082101436
S2,10,0.4186344098928788,0.004577712213132829
S2,11,0.4170686606786529,0.003999899573532183
S2,12,0.4048074546100299,0.004263891103794967
S2,13,0.40223999176527375,0.003764579667611618
S2,14,0.4004472319259226,0.0028756147402883127
S2,15,0.3897571438099841,0.003213186282624059
S2,16,0.395398197129332,0.003239189596666513
S2,17,0.3979775474391622,0.003448367301193186
S2,18,0.3962855158435001,0.004330040164992834
S2,19,0.4159847464210347,0.004423703477348811
S2,20,0.40399364431582274,0.003486125243546856
S2,21,0.3930317157535868,0.003881904761957772
S2,22,0.3820806190544863,0.0033758946328855347
S2,23,0.3941335470371141,0.0030124981785049246
S2,24,0.3920831936125317,0.003353619979213815
S3,1,0.8018746811214154,0.006169775639614914
S3,2,0.7190756702858683,0.005395551144481253
S3,3,0.6400684183296527,0.005623883995813604
S3,4,0.5779079365215818,0.005245657137452956
S3,5,0.5542835580890789,0.004675673674663512
S3,6,0.4990006079578785,0.005207976422035582
S3,7,0.47204116800205426,0.0043758412687322735
S3,8,0.44157253813714903,0.003379044934383792
S3,9,0.43104483777672786,0.003990601271187127
S3,10,0.41878000583580527,0.003953913725809926
S3,11,0.4160288131030037,0.004153756282059328
S3,12,0.4087623560443203,0.004900306145220652
S3,13,0.39023101412241645,0.003754263256162281
S3,14,0.3949960008754954,0.003909651852390906
S3,15,0.3857593794014543,0.0034008886018295965
S3,16,0.3898811938455277,0.0028905740184189755
S3,17,0.38954302683497555,0.003912462978982717
S3,18,0.39377786568614803,0.0033780196733318403
S3,19,0.39498635399780724,0.005029013635747178
S3,20,0.3917293873951292,0.0038467824319356404
S3,21,0.3866237632529935,0.0030689834666711643
S3,22,0.3707885262117713,0.003592570089494435
S3,23,0.39225477635347533,0.0028721913507055814
S3,24,0.3894971526507857,0.0038669911652781655
S4,1,0.79478302770346,0.0054484717899057275
S4,2,0.7199141529460247,0.006143535152504624
S4,3,0.6503904267025701,0.006253262489330534
S4,4,0.5763216984987868,0.006214020381343612
S4,5,0.5558450571331296,0.005086825998329229
S4,6,0.5043586387918298,0.004351662926281527
S4,7,0.47079149349855026,0.00361038348184645
S4,8,0.44233590975493214,0.0030907938847524975
S4,9,0.4379411483376108,0.0036114146702911332
S4,10,0.415595458189976,0.003905198596907492
S4,11,0.4200964297613604,0.0034287529402081004
S4,12,0.4074044846386188,0.0042509871415489535
S4,13,0.398420245375587,0.0023559525115226373
S4,14,0.39624321528689993,0.003797402313881246
S4,15,0.3915187024191739,0.003875169558160567
S4,16,0.3930471884495158,0.0035523743645675216
