raqm_size,config_id,mode,random_read_fidelity,random_read_fidelity_err,infidelity,infidelity_err
7,0,1,0.988286023993436,0.00041485755837685254,0.011713976006563986,0.00041485755837685254
7,0,2,0.9874131819599585,0.00040563478820520595,0.01258681804004147,0.00040563478820520595
7,0,3,0.9888830087682574,0.0004169635987301473,0.01111699123174259,0.0004169635987301473
7,0,4,0.9888627298370297,0.000486199769967945,0.01113727016297028,0.000486199769967945
7,0,5,0.9876800525303363,0.0006624437266762003,0.012319947469663695,0.0006624437266762003
7,0,6,0.9876819095515517,0.0005970754150193145,0.012318090448448338,0.0005970754150193145
7,0,7,0.9880764203490647,0.0005608351111824674,0.011923579650935268,0.0005608351111824674
1,1,1,0.9980840523820631,0.0004569857394138485,0.0019159476179368973,0.0004569857394138485
1,2,2,0.9983855610023299,0.0003673084631491068,0.001614438997670109,0.0003673084631491068
1,3,3,0.9970063268742209,0.0004347625938833363,0.0029936731257791394,0.0004347625938833363
1,4,4,0.9984012307107215,0.00035466556428764015,0.00159876928927849,0.00035466556428764015
1,5,5,0.9952651766823556,0.0004497102106698736,0.00473482331764441,0.0004497102106698736
1,6,6,0.9909442892049597,0.0005121656304393183,0.009055710795040306,0.0005121656304393183
1,7,7,0.9941037581308574,0.00047844549796483574,0.0058962418691426155,0.00047844549796483574
2,8,1,0.9933341322325587,0.00036514454732444046,0.006665867767441269,0.00036514454732444046
2,8,2,0.9940564751630209,0.0003480485735367352,0.0059435248369791305,0.0003480485735367352
2,9,1,0.9938155671453806,0.000289513377944827,0.006184432854619448,0.000289513377944827
2,9,3,0.9939284358639263,0.0002995512120182944,0.006071564136073682,0.0002995512120182944
2,10,1,0.9929402054045268,0.0003652006746026212,0.007059794595473234,0.0003652006746026212
2,10,4,0.994447317774024,0.0002791568458425045,0.005552682225976047,0.0002791568458425045
2,11,1,0.9891770437039841,0.0003322956075611644,0.010822956296015929,0.0003322956075611644
2,11,5,0.988213537094592,0.00045260477692903934,0.011786462905407968,0.00045260477692903934
2,12,1,0.9899786623308141,0.00033831007916887694,0.010021337669185892,0.00033831007916887694
2,12,6,0.9894765223640792,0.0003704083722966966,0.010523477635920764,0.0003704083722966966
2,13,1,0.9944091821801293,0.00023571205759756632,0.005590817819870697,0.00023571205759756632
2,13,7,0.9938360390835478,0.00028122914572814583,0.006163960916452216,0.00028122914572814583
2,14,2,0.9912299127302147,0.00030315175442030556,0.008770087269785343,0.00030315175442030556
2,14,3,0.9914310264781772,0.00029897199723736184,0.008568973521822842,0.00029897199723736184
2,15,2,0.9948110097917,0.00027155769899717055,0.005188990208299993,0.00027155769899717055
2,15,4,0.9942824654762983,0.0002835077656369592,0.005717534523701717,0.0002835077656369592
2,16,2,0.9939341118735642,0.00030706575683966687,0.0060658881264358255,0.00030706575683966687
2,16,5,0.9892033986957844,0.0003867750150624231,0.010796601304215558,0.0003867750150624231
2,17,2,0.992340122316601,0.00027586416790636596,0.007659877683399041,0.00027586416790636596
2,17,6,0.9881534078605978,0.0003349345676464824,0.011846592139402201,0.0003349345676464824
2,18,2,0.9934862564768796,0.00024153134035085345,0.006513743523120397,0.00024153134035085345
2,18,7,0.9923886717374069,0.00030010431283990186,0.007611328262593142,0.00030010431283990186
2,19,3,0.9935916866393516,0.00026631123531145953,0.006408313360648399,0.00026631123531145953
2,19,4,0.9940203486301522,0.00027948026027014466,0.005979651369847794,0.00027948026027014466
2,20,3,0.9916967425458032,0.00027006574097593545,0.0083032574541968,0.00027006574097593545
2,20,5,0.9895918020791528,0.000480411210729722,0.01040819792084724,0.000480411210729722
2,21,3,0.9918806890904995,0.00032485060759309943,0.008119310909500466,0.00032485060759309943
2,21,6,0.9894080985833986,0.0003641980007398729,0.01059190141660138,0.0003641980007398729
2,22,3,0.9936214340112188,0.0007611912370016007,0.006378565988781171,0.0007611912370016007
2,22,7,0.9940715056183996,0.0006217213580796501,0.005928494381600369,0.0006217213580796501
2,23,4,0.9946786661762546,0.00026230978999142515,0.005321333823745444,0.00026230978999142515
2,23,5,0.9938830616253213,0.0002827471260821635,0.006116938374678749,0.0002827471260821635
2,24,4,0.985322129313991,0.0004904489523296389,0.014677870686009009,0.0004904489523296389
2,24,6,0.9851922612566707,0.00063984366993155,0.014807738743329302,0.00063984366993155
2,25,4,0.9932914617445676,0.0002815677276946978,0.006708538255432384,0.0002815677276946978
2,25,7,0.9916161777263481,0.0003224033704111158,0.008383822273651864,0.0003224033704111158
2,26,5,0.9916513898242807,0.0002785732594823564,0.008348610175719307,0.0002785732594823564
2,26,6,0.9918245089247567,0.00028928576685186794,0.00817549107524329,0.00028928576685186794
2,27,5,0.9874169176432799,0.0005679777450294441,0.012583082356720121,0.0005679777450294441
2,27,7,0.9897278587748382,0.00033658196633676405,0.010272141225161846,0.00033658196633676405
2,28,6,0.9873189965617652,0.00036920412720012086,0.01268100343823475,0.00036920412720012086
2,28,7,0.987592093424611,0.00040499207650250877,0.012407906575389038,0.00040499207650250877
3,29,4,0.9921147105467739,0.00020320431429820548,0.007885289453226085,0.00020320431429820548
3,29,5,0.9918389410729914,0.00025979099465007566,0.00816105892700858,0.00025979099465007566
3,29,7,0.9925491881332978,0.00019100930522807487,0.007450811866702156,0.00019100930522807487
3,30,1,0.9891534507644778,0.00028174380560913343,0.010846549235522196,0.00028174380560913343
3,30,2,0.9912373832618003,0.0002607562261874967,0.008762616738199669,0.0002607562261874967
3,30,6,0.9891286872286597,0.0003565007870852064,0.010871312771340347,0.0003565007870852064
3,31,1,0.9899708986947386,0.0018668827340781523,0.010029101305261356,0.0018668827340781523
3,31,2,0.9902912753531978,0.0021641327510886453,0.00970872464680217,0.0021641327510886453
3,31,3,0.9899586092956963,0.0018806950493714977,0.010041390704303654,0.0018806950493714977
